설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
서오릉버스 종점,구산동 202-1 서오릉버스종점,은평구,서울특별시 은평구청,SEOUL,37.6142,126.91019
앵봉산생태놀이터,갈현동 산131-8(앵봉산생태놀이터),은평구,서울특별시 은평구청,SEOUL,37.61936,126.90688
구산아파트,구산동 199-1 구산아파트,은평구,서울특별시 은평구청,SEOUL,37.61287,126.91382
구산동 21-1,구산동 21-1,은평구,서울특별시 은평구청,SEOUL,37.60908,126.91583
구산동 1-14,구산동 1-14 /1,은평구,서울특별시 은평구청,SEOUL,37.61051,126.91683
녹번동 48-5,녹번동 48-5,은평구,서울특별시 은평구청,SEOUL,37.60105,126.93535
본죽앞,녹번동 245(본죽앞),은평구,서울특별시 은평구청,SEOUL,37.60113,126.93276
주정차CCTV,은평로 217(주정차),은평구,서울특별시 은평구청,SEOUL,37.60122,126.93187
성당 앞,은평로 205 성당 앞,은평구,서울특별시 은평구청,SEOUL,37.60134,126.93057
뚜레쥬르,은평로 197(뚜레쥬르),은평구,서울특별시 은평구청,SEOUL,37.60141,126.92968
녹번서근린공원,녹번동 85-1 녹번서근린공원 3/1,은평구,서울특별시 은평구청,SEOUL,37.60356,126.92706
녹번동 83-26,녹번동 83-26,은평구,서울특별시 은평구청,SEOUL,37.60244,126.92651
녹번서근린공원,녹번동 85-1 녹번서근린공원 3/1,은평구,서울특별시 은평구청,SEOUL,37.60405,126.92759
녹번동마을마당,녹번동 104-7 녹번동마을마당,은평구,서울특별시 은평구청,SEOUL,37.60609,126.92746
연신내로데오거리,갈현2동 454-28,은평구,서울특별시 은평구청,SEOUL,37.61795,126.91823
대조동 26-23,대조동 26-23,은평구,서울특별시 은평구청,SEOUL,37.60884,126.92634
대조동 12-19 /1 -> 대조시장#1로 UTP 포설,대조동 12-19 /1 -> 대조시장#1로 UTP 포설,은평구,서울특별시 은평구청,SEOUL,37.60994,126.92819
대조동 15-33,대조동 15-33,은평구,서울특별시 은평구청,SEOUL,37.60901,126.92947
대조동15-139  (대조시장#2에서 변경),대조동15-139  (대조시장#2에서 변경),은평구,서울특별시 은평구청,SEOUL,37.60983,126.92933
대조시장(38호),대조동 12-8 대조시장#1(상가번호 점38호),은평구,서울특별시 은평구청,SEOUL,37.60957,126.92751
녹번동 14-1,녹번동 14-1,은평구,서울특별시 은평구청,SEOUL,37.60669,126.93309
녹번동 16-2#2,녹번동 16-2#2,은평구,서울특별시 은평구청,SEOUL,37.60642,126.9342
녹번동 100-25,녹번동 100-25,은평구,서울특별시 은평구청,SEOUL,37.60472,126.92836
녹번초 후문,녹번동 174(녹번초 후문),은평구,서울특별시 은평구청,SEOUL,37.6044,126.92674
구청앞 로터리,녹번동 85-4 구청앞로타리(문화예술회관녹초공원에서 변경),은평구,서울특별시 은평구청,SEOUL,37.60217,126.92918
불광동 281-13,불광동 281-13,은평구,서울특별시 은평구청,SEOUL,37.61186,126.93127
불광동 267,불광동 267 <-불광1동 264-44에서UTP예정,은평구,서울특별시 은평구청,SEOUL,37.61198,126.92878
녹번동 산1-55,녹번동 산1-55,은평구,서울특별시 은평구청,SEOUL,37.61063,126.9412
